$mnode(0)setX5,"	$mnode(0)setY3","	$mnode(0)setZ0",,5,3,"(5, 3)"
$mnode(27)setX78,"	$mnode(27)setY15","	$mnode(27)setZ0",,78,15,"(78, 15)"
$mnode(28)setX88,"	$mnode(28)setY18","	$mnode(28)setZ0",,88,18,"(88, 18)"
$mnode(29)setX98,"	$mnode(29)setY15","	$mnode(29)setZ0",,98,15,"(98, 15)"
$mnode(30)setX100,"	$mnode(30)setY15","	$mnode(30)setZ0",,100,15,"(100, 15)"
$mnode(31)setX114,"	$mnode(31)setY17","	$mnode(31)setZ0",,114,17,"(114, 17)"
$mnode(32)setX121,"	$mnode(32)setY19","	$mnode(32)setZ0",,121,19,"(121, 19)"
$mnode(33)setX135,"	$mnode(33)setY14","	$mnode(33)setZ0",,135,14,"(135, 14)"
$mnode(34)setX145,"	$mnode(34)setY18","	$mnode(34)setZ0",,145,18,"(145, 18)"
$mnode(35)setX154,"	$mnode(35)setY18","	$mnode(35)setZ0",,154,18,"(154, 18)"
$mnode(36)setX168,"	$mnode(36)setY10","	$mnode(36)setZ0",,168,10,"(168, 10)"
$mnode(37)setX177,"	$mnode(37)setY10","	$mnode(37)setZ0",,177,10,"(177, 10)"
$mnode(38)setX182,"	$mnode(38)setY16","	$mnode(38)setZ0",,182,16,"(182, 16)"
$mnode(39)setX192,"	$mnode(39)setY16","	$mnode(39)setZ0",,192,16,"(192, 16)"
$mnode(40)setX9,"	$mnode(40)setY23","	$mnode(40)setZ0",,9,23,"(9, 23)"
$mnode(41)setX10,"	$mnode(41)setY24","	$mnode(41)setZ0",,10,24,"(10, 24)"
$mnode(42)setX28,"	$mnode(42)setY25","	$mnode(42)setZ0",,28,25,"(28, 25)"
$mnode(43)setX33,"	$mnode(43)setY23","	$mnode(43)setZ0",,33,23,"(33, 23)"
$mnode(44)setX45,"	$mnode(44)setY29","	$mnode(44)setZ0",,45,29,"(45, 29)"
$mnode(45)setX54,"	$mnode(45)setY25","	$mnode(45)setZ0",,54,25,"(54, 25)"
$mnode(46)setX69,"	$mnode(46)setY26","	$mnode(46)setZ0",,69,26,"(69, 26)"
$mnode(47)setX75,"	$mnode(47)setY22","	$mnode(47)setZ0",,75,22,"(75, 22)"
$mnode(48)setX82,"	$mnode(48)setY27","	$mnode(48)setZ0",,82,27,"(82, 27)"
$mnode(49)setX93,"	$mnode(49)setY25","	$mnode(49)setZ0",,93,25,"(93, 25)"
$mnode(50)setX108,"	$mnode(50)setY21","	$mnode(50)setZ0",,108,21,"(108, 21)"
$mnode(51)setX115,"	$mnode(51)setY29","	$mnode(51)setZ0",,115,29,"(115, 29)"
$mnode(52)setX125,"	$mnode(52)setY24","	$mnode(52)setZ0",,125,24,"(125, 24)"
$mnode(53)setX135,"	$mnode(53)setY21","	$mnode(53)setZ0",,135,21,"(135, 21)"
$mnode(54)setX147,"	$mnode(54)setY21","	$mnode(54)setZ0",,147,21,"(147, 21)"
$mnode(55)setX156,"	$mnode(55)setY22","	$mnode(55)setZ0",,156,22,"(156, 22)"
$mnode(56)setX163,"	$mnode(56)setY21","	$mnode(56)setZ0",,163,21,"(163, 21)"
$mnode(57)setX175,"	$mnode(57)setY25","	$mnode(57)setZ0",,175,25,"(175, 25)"
$mnode(58)setX187,"	$mnode(58)setY25","	$mnode(58)setZ0",,187,25,"(187, 25)"
$mnode(59)setX191,"	$mnode(59)setY29","	$mnode(59)setZ0",,191,29,"(191, 29)"
$mnode(60)setX1,"	$mnode(60)setY38","	$mnode(60)setZ0",,1,38,"(1, 38)"
$mnode(61)setX13,"	$mnode(61)setY36","	$mnode(61)setZ0",,13,36,"(13, 36)"
$mnode(62)setX24,"	$mnode(62)setY39","	$mnode(62)setZ0",,24,39,"(24, 39)"
$mnode(63)setX30,"	$mnode(63)setY38","	$mnode(63)setZ0",,30,38,"(30, 38)"
$mnode(64)setX45,"	$mnode(64)setY35","	$mnode(64)setZ0",,45,35,"(45, 35)"
$mnode(65)setX53,"	$mnode(65)setY30","	$mnode(65)setZ0",,53,30,"(53, 30)"
$mnode(66)setX63,"	$mnode(66)setY37","	$mnode(66)setZ0",,63,37,"(63, 37)"
$mnode(67)setX74,"	$mnode(67)setY30","	$mnode(67)setZ0",,74,30,"(74, 30)"
$mnode(68)setX89,"	$mnode(68)setY39","	$mnode(68)setZ0",,89,39,"(89, 39)"
$mnode(69)setX99,"	$mnode(69)setY35","	$mnode(69)setZ0",,99,35,"(99, 35)"
$mnode(70)setX107,"	$mnode(70)setY36","	$mnode(70)setZ0",,107,36,"(107, 36)"
$mnode(71)setX111,"	$mnode(71)setY31","	$mnode(71)setZ0",,111,31,"(111, 31)"
$mnode(72)setX129,"	$mnode(72)setY33","	$mnode(72)setZ0",,129,33,"(129, 33)"
$mnode(73)setX133,"	$mnode(73)setY33","	$mnode(73)setZ0",,133,33,"(133, 33)"
$mnode(74)setX146,"	$mnode(74)setY34","	$mnode(74)setZ0",,146,34,"(146, 34)"
$mnode(75)setX159,"	$mnode(75)setY39","	$mnode(75)setZ0",,159,39,"(159, 39)"
$mnode(76)setX163,"	$mnode(76)setY33","	$mnode(76)setZ0",,163,33,"(163, 33)"
$mnode(77)setX170,"	$mnode(77)setY35","	$mnode(77)setZ0",,170,35,"(170, 35)"
$mnode(78)setX186,"	$mnode(78)setY32","	$mnode(78)setZ0",,186,32,"(186, 32)"
$mnode(79)setX190,"	$mnode(79)setY35","	$mnode(79)setZ0",,190,35,"(190, 35)"
$mnode(80)setX0,"	$mnode(80)setY47","	$mnode(80)setZ0",,0,47,"(0, 47)"
$mnode(81)setX16,"	$mnode(81)setY49","	$mnode(81)setZ0",,16,49,"(16, 49)"
$mnode(82)setX28,"	$mnode(82)setY47","	$mnode(82)setZ0",,28,47,"(28, 47)"
$mnode(83)setX37,"	$mnode(83)setY49","	$mnode(83)setZ0",,37,49,"(37, 49)"
$mnode(84)setX40,"	$mnode(84)setY42","	$mnode(84)setZ0",,40,42,"(40, 42)"
$mnode(85)setX56,"	$mnode(85)setY46","	$mnode(85)setZ0",,56,46,"(56, 46)"
$mnode(86)setX60,"	$mnode(86)setY41","	$mnode(86)setZ0",,60,41,"(60, 41)"
$mnode(87)setX70,"	$mnode(87)setY44","	$mnode(87)setZ0",,70,44,"(70, 44)"
$mnode(88)setX84,"	$mnode(88)setY49","	$mnode(88)setZ0",,84,49,"(84, 49)"
$mnode(89)setX90,"	$mnode(89)setY49","	$mnode(89)setZ0",,90,49,"(90, 49)"
$mnode(90)setX105,"	$mnode(90)setY40","	$mnode(90)setZ0",,105,40,"(105, 40)"
$mnode(91)setX118,"	$mnode(91)setY46","	$mnode(91)setZ0",,118,46,"(118, 46)"
$mnode(92)setX120,"	$mnode(92)setY45","	$mnode(92)setZ0",,120,45,"(120, 45)"
$mnode(93)setX133,"	$mnode(93)setY40","	$mnode(93)setZ0",,133,40,"(133, 40)"
$mnode(94)setX140,"	$mnode(94)setY48","	$mnode(94)setZ0",,140,48,"(140, 48)"
$mnode(95)setX152,"	$mnode(95)setY41","	$mnode(95)setZ0",,152,41,"(152, 41)"
$mnode(96)setX164,"	$mnode(96)setY43","	$mnode(96)setZ0",,164,43,"(164, 43)"
$mnode(97)setX176,"	$mnode(97)setY42","	$mnode(97)setZ0",,176,42,"(176, 42)"
$mnode(98)setX185,"	$mnode(98)setY47","	$mnode(98)setZ0",,185,47,"(185, 47)"
$mnode(99)setX194,"	$mnode(99)setY44","	$mnode(99)setZ0",,194,44,"(194, 44)"
$mnode(100)setX5,"	$mnode(100)setY50","	$mnode(100)setZ0",,5,50,"(5, 50)"
$mnode(101)setX13,"	$mnode(101)setY50","	$mnode(101)setZ0",,13,50,"(13, 50)"
$mnode(102)setX23,"	$mnode(102)setY50","	$mnode(102)setZ0",,23,50,"(23, 50)"
$mnode(103)setX32,"	$mnode(103)setY57","	$mnode(103)setZ0",,32,57,"(32, 57)"
$mnode(104)setX44,"	$mnode(104)setY58","	$mnode(104)setZ0",,44,58,"(44, 58)"
$mnode(105)setX58,"	$mnode(105)setY50","	$mnode(105)setZ0",,58,50,"(58, 50)"
$mnode(106)setX65,"	$mnode(106)setY56","	$mnode(106)setZ0",,65,56,"(65, 56)"
$mnode(107)setX71,"	$mnode(107)setY59","	$mnode(107)setZ0",,71,59,"(71, 59)"
$mnode(108)setX81,"	$mnode(108)setY53","	$mnode(108)setZ0",,81,53,"(81, 53)"
$mnode(109)setX96,"	$mnode(109)setY51","	$mnode(109)setZ0",,96,51,"(96, 51)"
$mnode(110)setX105,"	$mnode(110)setY58","	$mnode(110)setZ0",,105,58,"(105, 58)"
$mnode(111)setX111,"	$mnode(111)setY59","	$mnode(111)setZ0",,111,59,"(111, 59)"
$mnode(112)setX124,"	$mnode(112)setY58","	$mnode(112)setZ0",,124,58,"(124, 58)"
$mnode(113)setX136,"	$mnode(113)setY52","	$mnode(113)setZ0",,136,52,"(136, 52)"
$mnode(114)setX148,"	$mnode(114)setY58","	$mnode(114)setZ0",,148,58,"(148, 58)"
$mnode(115)setX154,"	$mnode(115)setY52","	$mnode(115)setZ0",,154,52,"(154, 52)"
$mnode(116)setX165,"	$mnode(116)setY59","	$mnode(116)setZ0",,165,59,"(165, 59)"
$mnode(117)setX175,"	$mnode(117)setY50","	$mnode(117)setZ0",,175,50,"(175, 50)"
$mnode(118)setX183,"	$mnode(118)setY54","	$mnode(118)setZ0",,183,54,"(183, 54)"
$mnode(119)setX192,"	$mnode(119)setY58","	$mnode(119)setZ0",,192,58,"(192, 58)"
$mnode(120)setX7,"	$mnode(120)setY63","	$mnode(120)setZ0",,7,63,"(7, 63)"
$mnode(121)setX13,"	$mnode(121)setY64","	$mnode(121)setZ0",,13,64,"(13, 64)"
$mnode(122)setX23,"	$mnode(122)setY69","	$mnode(122)setZ0",,23,69,"(23, 69)"
$mnode(123)setX38,"	$mnode(123)setY65","	$mnode(123)setZ0",,38,65,"(38, 65)"
$mnode(124)setX40,"	$mnode(124)setY65","	$mnode(124)setZ0",,40,65,"(40, 65)"
$mnode(125)setX56,"	$mnode(125)setY62","	$mnode(125)setZ0",,56,62,"(56, 62)"
$mnode(126)setX68,"	$mnode(126)setY63","	$mnode(126)setZ0",,68,63,"(68, 63)"
$mnode(127)setX74,"	$mnode(127)setY65","	$mnode(127)setZ0",,74,65,"(74, 65)"
$mnode(128)setX89,"	$mnode(128)setY65","	$mnode(128)setZ0",,89,65,"(89, 65)"
$mnode(129)setX96,"	$mnode(129)setY64","	$mnode(129)setZ0",,96,64,"(96, 64)"
$mnode(130)setX100,"	$mnode(130)setY60","	$mnode(130)setZ0",,100,60,"(100, 60)"
$mnode(131)setX110,"	$mnode(131)setY64","	$mnode(131)setZ0",,110,64,"(110, 64)"
$mnode(132)setX126,"	$mnode(132)setY62","	$mnode(132)setZ0",,126,62,"(126, 62)"
$mnode(133)setX131,"	$mnode(133)setY68","	$mnode(133)setZ0",,131,68,"(131, 68)"
$mnode(134)setX144,"	$mnode(134)setY64","	$mnode(134)setZ0",,144,64,"(144, 64)"
$mnode(135)setX150,"	$mnode(135)setY66","	$mnode(135)setZ0",,150,66,"(150, 66)"
$mnode(136)setX168,"	$mnode(136)setY63","	$mnode(136)setZ0",,168,63,"(168, 63)"
$mnode(137)setX186,"	$mnode(137)setY60","	$mnode(137)setZ0",,186,60,"(186, 60)"
$mnode(138)setX195,"	$mnode(138)setY61","	$mnode(138)setZ0",,195,61,"(195, 61)"
$mnode(139)setX4,"	$mnode(139)setY78","	$mnode(139)setZ0",,4,78,"(4, 78)"
$mnode(140)setX17,"	$mnode(140)setY71","	$mnode(140)setZ0",,17,71,"(17, 71)"
$mnode(141)setX25,"	$mnode(141)setY75","	$mnode(141)setZ0",,25,75,"(25, 75)"
$mnode(142)setX31,"	$mnode(142)setY70","	$mnode(142)setZ0",,31,70,"(31, 70)"
$mnode(143)setX45,"	$mnode(143)setY79","	$mnode(143)setZ0",,45,79,"(45, 79)"
$mnode(144)setX55,"	$mnode(144)setY79","	$mnode(144)setZ0",,55,79,"(55, 79)"
$mnode(145)setX61,"	$mnode(145)setY78","	$mnode(145)setZ0",,61,78,"(61, 78)"
$mnode(146)setX72,"	$mnode(146)setY71","	$mnode(146)setZ0",,72,71,"(72, 71)"
$mnode(147)setX83,"	$mnode(147)setY73","	$mnode(147)setZ0",,83,73,"(83, 73)"
$mnode(148)setX93,"	$mnode(148)setY70","	$mnode(148)setZ0",,93,70,"(93, 70)"
$mnode(149)setX104,"	$mnode(149)setY74","	$mnode(149)setZ0",,104,74,"(104, 74)"
$mnode(150)setX111,"	$mnode(150)setY73","	$mnode(150)setZ0",,111,73,"(111, 73)"
$mnode(151)setX122,"	$mnode(151)setY74","	$mnode(151)setZ0",,122,74,"(122, 74)"
$mnode(152)setX134,"	$mnode(152)setY73","	$mnode(152)setZ0",,134,73,"(134, 73)"
$mnode(153)setX144,"	$mnode(153)setY75","	$mnode(153)setZ0",,144,75,"(144, 75)"
$mnode(154)setX159,"	$mnode(154)setY74","	$mnode(154)setZ0",,159,74,"(159, 74)"
$mnode(155)setX169,"	$mnode(155)setY77","	$mnode(155)setZ0",,169,77,"(169, 77)"
$mnode(156)setX176,"	$mnode(156)setY77","	$mnode(156)setZ0",,176,77,"(176, 77)"
$mnode(157)setX187,"	$mnode(157)setY79","	$mnode(157)setZ0",,187,79,"(187, 79)"
$mnode(158)setX196,"	$mnode(158)setY75","	$mnode(158)setZ0",,196,75,"(196, 75)"
$mnode(159)setX7,"	$mnode(159)setY85","	$mnode(159)setZ0",,7,85,"(7, 85)"
$mnode(160)setX19,"	$mnode(160)setY81","	$mnode(160)setZ0",,19,81,"(19, 81)"
$mnode(161)setX21,"	$mnode(161)setY84","	$mnode(161)setZ0",,21,84,"(21, 84)"
$mnode(162)setX31,"	$mnode(162)setY81","	$mnode(162)setZ0",,31,81,"(31, 81)"
$mnode(163)setX40,"	$mnode(163)setY87","	$mnode(163)setZ0",,40,87,"(40, 87)"
$mnode(164)setX57,"	$mnode(164)setY87","	$mnode(164)setZ0",,57,87,"(57, 87)"
$mnode(165)setX68,"	$mnode(165)setY85","	$mnode(165)setZ0",,68,85,"(68, 85)"
$mnode(166)setX74,"	$mnode(166)setY80","	$mnode(166)setZ0",,74,80,"(74, 80)"
$mnode(167)setX80,"	$mnode(167)setY80","	$mnode(167)setZ0",,80,80,"(80, 80)"
$mnode(168)setX92,"	$mnode(168)setY83","	$mnode(168)setZ0",,92,83,"(92, 83)"
$mnode(169)setX105,"	$mnode(169)setY82","	$mnode(169)setZ0",,105,82,"(105, 82)"
$mnode(170)setX115,"	$mnode(170)setY85","	$mnode(170)setZ0",,115,85,"(115, 85)"
$mnode(171)setX120,"	$mnode(171)setY81","	$mnode(171)setZ0",,120,81,"(120, 81)"
$mnode(172)setX139,"	$mnode(172)setY87","	$mnode(172)setZ0",,139,87,"(139, 87)"
$mnode(173)setX145,"	$mnode(173)setY84","	$mnode(173)setZ0",,145,84,"(145, 84)"
$mnode(174)setX155,"	$mnode(174)setY83","	$mnode(174)setZ0",,155,83,"(155, 83)"
$mnode(175)setX163,"	$mnode(175)setY88","	$mnode(175)setZ0",,163,88,"(163, 88)"
$mnode(176)setX177,"	$mnode(176)setY87","	$mnode(176)setZ0",,177,87,"(177, 87)"
$mnode(177)setX184,"	$mnode(177)setY82","	$mnode(177)setZ0",,184,82,"(184, 82)"
$mnode(178)setX192,"	$mnode(178)setY86","	$mnode(178)setZ0",,192,86,"(192, 86)"
$mnode(179)setX1,"	$mnode(179)setY90","	$mnode(179)setZ0",,1,90,"(1, 90)"
$mnode(180)setX14,"	$mnode(180)setY97","	$mnode(180)setZ0",,14,97,"(14, 97)"
$mnode(181)setX26,"	$mnode(181)setY96","	$mnode(181)setZ0",,26,96,"(26, 96)"
$mnode(182)setX38,"	$mnode(182)setY94","	$mnode(182)setZ0",,38,94,"(38, 94)"
$mnode(183)setX43,"	$mnode(183)setY98","	$mnode(183)setZ0",,43,98,"(43, 98)"
$mnode(184)setX58,"	$mnode(184)setY95","	$mnode(184)setZ0",,58,95,"(58, 95)"
$mnode(185)setX62,"	$mnode(185)setY94","	$mnode(185)setZ0",,62,94,"(62, 94)"
$mnode(186)setX70,"	$mnode(186)setY94","	$mnode(186)setZ0",,70,94,"(70, 94)"
$mnode(187)setX86,"	$mnode(187)setY91","	$mnode(187)setZ0",,86,91,"(86, 91)"
$mnode(188)setX94,"	$mnode(188)setY98","	$mnode(188)setZ0",,94,98,"(94, 98)"
$mnode(189)setX101,"	$mnode(189)setY93","	$mnode(189)setZ0",,101,93,"(101, 93)"
$mnode(190)setX111,"	$mnode(190)setY97","	$mnode(190)setZ0",,111,97,"(111, 97)"
$mnode(191)setX122,"	$mnode(191)setY97","	$mnode(191)setZ0",,122,97,"(122, 97)"
$mnode(192)setX131,"	$mnode(192)setY99","	$mnode(192)setZ0",,131,99,"(131, 99)"
$mnode(193)setX142,"	$mnode(193)setY91","	$mnode(193)setZ0",,142,91,"(142, 91)"
$mnode(194)setX156,"	$mnode(194)setY91","	$mnode(194)setZ0",,156,91,"(156, 91)"
$mnode(195)setX160,"	$mnode(195)setY93","	$mnode(195)setZ0",,160,93,"(160, 93)"
$mnode(196)setX170,"	$mnode(196)setY91","	$mnode(196)setZ0",,170,91,"(170, 91)"
$mnode(197)setX180,"	$mnode(197)setY97","	$mnode(197)setZ0",,180,97,"(180, 97)"
$mnode(198)setX194,"	$mnode(198)setY98","	$mnode(198)setZ0",,194,98,"(194, 98)"
$mnode(199)setX8,"	$mnode(199)setY106","	$mnode(199)setZ0",,8,106,"(8, 106)"
$mnode(200)setX10,"	$mnode(200)setY101","	$mnode(200)setZ0",,10,101,"(10, 101)"
$mnode(201)setX24,"	$mnode(201)setY109","	$mnode(201)setZ0",,24,109,"(24, 109)"
$mnode(202)setX35,"	$mnode(202)setY101","	$mnode(202)setZ0",,35,101,"(35, 101)"
$mnode(203)setX46,"	$mnode(203)setY109","	$mnode(203)setZ0",,46,109,"(46, 109)"
$mnode(204)setX56,"	$mnode(204)setY105","	$mnode(204)setZ0",,56,105,"(56, 105)"
$mnode(205)setX62,"	$mnode(205)setY105","	$mnode(205)setZ0",,62,105,"(62, 105)"
$mnode(206)setX79,"	$mnode(206)setY108","	$mnode(206)setZ0",,79,108,"(79, 108)"
$mnode(207)setX85,"	$mnode(207)setY104","	$mnode(207)setZ0",,85,104,"(85, 104)"
$mnode(208)setX94,"	$mnode(208)setY107","	$mnode(208)setZ0",,94,107,"(94, 107)"
$mnode(209)setX102,"	$mnode(209)setY107","	$mnode(209)setZ0",,102,107,"(102, 107)"
$mnode(210)setX129,"	$mnode(210)setY101","	$mnode(210)setZ0",,129,101,"(129, 101)"
$mnode(211)setX133,"	$mnode(211)setY105","	$mnode(211)setZ0",,133,105,"(133, 105)"
$mnode(212)setX143,"	$mnode(212)setY100","	$mnode(212)setZ0",,143,100,"(143, 100)"
$mnode(213)setX151,"	$mnode(213)setY102","	$mnode(213)setZ0",,151,102,"(151, 102)"
$mnode(214)setX164,"	$mnode(214)setY107","	$mnode(214)setZ0",,164,107,"(164, 107)"
$mnode(215)setX175,"	$mnode(215)setY108","	$mnode(215)setZ0",,175,108,"(175, 108)"
$mnode(216)setX186,"	$mnode(216)setY100","	$mnode(216)setZ0",,186,100,"(186, 100)"
$mnode(217)setX193,"	$mnode(217)setY102","	$mnode(217)setZ0",,193,102,"(193, 102)"
$mnode(218)setX3,"	$mnode(218)setY110","	$mnode(218)setZ0",,3,110,"(3, 110)"
$mnode(219)setX14,"	$mnode(219)setY111","	$mnode(219)setZ0",,14,111,"(14, 111)"
$mnode(220)setX25,"	$mnode(220)setY117","	$mnode(220)setZ0",,25,117,"(25, 117)"
$mnode(221)setX31,"	$mnode(221)setY110","	$mnode(221)setZ0",,31,110,"(31, 110)"
$mnode(222)setX42,"	$mnode(222)setY111","	$mnode(222)setZ0",,42,111,"(42, 111)"
$mnode(223)setX51,"	$mnode(223)setY116","	$mnode(223)setZ0",,51,116,"(51, 116)"
$mnode(224)setX64,"	$mnode(224)setY113","	$mnode(224)setZ0",,64,113,"(64, 113)"
$mnode(225)setX73,"	$mnode(225)setY116","	$mnode(225)setZ0",,73,116,"(73, 116)"
$mnode(226)setX85,"	$mnode(226)setY111","	$mnode(226)setZ0",,85,111,"(85, 111)"
$mnode(227)setX99,"	$mnode(227)setY119","	$mnode(227)setZ0",,99,119,"(99, 119)"
$mnode(228)setX107,"	$mnode(228)setY118","	$mnode(228)setZ0",,107,118,"(107, 118)"
$mnode(229)setX115,"	$mnode(229)setY114","	$mnode(229)setZ0",,115,114,"(115, 114)"
$mnode(230)setX124,"	$mnode(230)setY114","	$mnode(230)setZ0",,124,114,"(124, 114)"
$mnode(231)setX131,"	$mnode(231)setY118","	$mnode(231)setZ0",,131,118,"(131, 118)"
$mnode(232)setX143,"	$mnode(232)setY114","	$mnode(232)setZ0",,143,114,"(143, 114)"
$mnode(233)setX157,"	$mnode(233)setY118","	$mnode(233)setZ0",,157,118,"(157, 118)"
$mnode(234)setX163,"	$mnode(234)setY113","	$mnode(234)setZ0",,163,113,"(163, 113)"
$mnode(235)setX173,"	$mnode(235)setY113","	$mnode(235)setZ0",,173,113,"(173, 113)"
$mnode(236)setX182,"	$mnode(236)setY110","	$mnode(236)setZ0",,182,110,"(182, 110)"
$mnode(237)setX195,"	$mnode(237)setY118","	$mnode(237)setZ0",,195,118,"(195, 118)"
$mnode(238)setX4,"	$mnode(238)setY128","	$mnode(238)setZ0",,4,128,"(4, 128)"
$mnode(239)setX18,"	$mnode(239)setY121","	$mnode(239)setZ0",,18,121,"(18, 121)"
$mnode(240)setX20,"	$mnode(240)setY127","	$mnode(240)setZ0",,20,127,"(20, 127)"
$mnode(241)setX33,"	$mnode(241)setY127","	$mnode(241)setZ0",,33,127,"(33, 127)"
$mnode(242)setX44,"	$mnode(242)setY127","	$mnode(242)setZ0",,44,127,"(44, 127)"
$mnode(243)setX55,"	$mnode(243)setY123","	$mnode(243)setZ0",,55,123,"(55, 123)"
$mnode(244)setX62,"	$mnode(244)setY127","	$mnode(244)setZ0",,62,127,"(62, 127)"
$mnode(245)setX73,"	$mnode(245)setY124","	$mnode(245)setZ0",,73,124,"(73, 124)"
$mnode(246)setX85,"	$mnode(246)setY129","	$mnode(246)setZ0",,85,129,"(85, 129)"
$mnode(247)setX92,"	$mnode(247)setY120","	$mnode(247)setZ0",,92,120,"(92, 120)"
$mnode(248)setX108,"	$mnode(248)setY127","	$mnode(248)setZ0",,108,127,"(108, 127)"
$mnode(249)setX118,"	$mnode(249)setY126","	$mnode(249)setZ0",,118,126,"(118, 126)"
$mnode(250)setX128,"	$mnode(250)setY124","	$mnode(250)setZ0",,128,124,"(128, 124)"
$mnode(251)setX139,"	$mnode(251)setY128","	$mnode(251)setZ0",,139,128,"(139, 128)"
$mnode(252)setX142,"	$mnode(252)setY120","	$mnode(252)setZ0",,142,120,"(142, 120)"
$mnode(253)setX159,"	$mnode(253)setY122","	$mnode(253)setZ0",,159,122,"(159, 122)"
$mnode(254)setX163,"	$mnode(254)setY127","	$mnode(254)setZ0",,163,127,"(163, 127)"
$mnode(255)setX174,"	$mnode(255)setY121","	$mnode(255)setZ0",,174,121,"(174, 121)"
$mnode(256)setX186,"	$mnode(256)setY125","	$mnode(256)setZ0",,186,125,"(186, 125)"
$mnode(257)setX193,"	$mnode(257)setY128","	$mnode(257)setZ0",,193,128,"(193, 128)"
$mnode(258)setX4,"	$mnode(258)setY136","	$mnode(258)setZ0",,4,136,"(4, 136)"
$mnode(259)setX19,"	$mnode(259)setY134","	$mnode(259)setZ0",,19,134,"(19, 134)"
$mnode(260)setX23,"	$mnode(260)setY130","	$mnode(260)setZ0",,23,130,"(23, 130)"
$mnode(261)setX31,"	$mnode(261)setY130","	$mnode(261)setZ0",,31,130,"(31, 130)"
$mnode(262)setX40,"	$mnode(262)setY139","	$mnode(262)setZ0",,40,139,"(40, 139)"
$mnode(263)setX54,"	$mnode(263)setY134","	$mnode(263)setZ0",,54,134,"(54, 134)"
$mnode(264)setX65,"	$mnode(264)setY132","	$mnode(264)setZ0",,65,132,"(65, 132)"
$mnode(265)setX70,"	$mnode(265)setY138","	$mnode(265)setZ0",,70,138,"(70, 138)"
$mnode(266)setX83,"	$mnode(266)setY137","	$mnode(266)setZ0",,83,137,"(83, 137)"
$mnode(267)setX99,"	$mnode(267)setY133","	$mnode(267)setZ0",,99,133,"(99, 133)"
$mnode(268)setX108,"	$mnode(268)setY132","	$mnode(268)setZ0",,108,132,"(108, 132)"
$mnode(269)setX115,"	$mnode(269)setY132","	$mnode(269)setZ0",,115,132,"(115, 132)"
$mnode(270)setX124,"	$mnode(270)setY132","	$mnode(270)setZ0",,124,132,"(124, 132)"
$mnode(271)setX133,"	$mnode(271)setY138","	$mnode(271)setZ0",,133,138,"(133, 138)"
$mnode(272)setX140,"	$mnode(272)setY131","	$mnode(272)setZ0",,140,131,"(140, 131)"
